Date,Reservoir 1 Level,Reservoir 2 Level,Generator Production (MWh),Discharge (m³),Load Shedding (MWh),Spillage (MWh),Bypass Water (MWh),Regulated Inflow (m³),Unregulated Inflow (m³),Penalty for Load Shedding,Penalty for Spillage,Penalty for Bypass
01/01/2025,15.80221519,17.32388447,58.69080491,124.0901721,5,4,2,2286,2941,77,25,19
02/01/2025,15.59688445,19.24107716,54.52122652,128.5606955,4,2,0,1926,2586,92,26,18
03/01/2025,11.05259185,19.75179976,58.35545305,141.2765412,2,1,0,2208,2530,96,16,13
04/01/2025,11.67359733,18.33204357,58.1669442,113.7618053,3,0,2,2202,2620,79,18,19
05/01/2025,19.72025256,13.03017507,52.09148221,103.7601014,6,3,1,1720,2568,94,28,15
06/01/2025,12.28486747,19.66547517,50.55524131,135.3891989,3,1,2,1509,3145,87,17,16
07/01/2025,19.77452118,16.28119531,51.14881934,124.1505928,8,1,2,1619,3382,84,23,14
08/01/2025,15.31912707,19.30642476,59.56661615,144.8252125,9,1,0,2134,3460,74,16,17
09/01/2025,11.35789047,16.76105026,55.46335383,149.1340024,1,3,0,1746,3326,91,17,12
10/01/2025,10.99302203,13.07238962,42.1253181,119.9554675,4,4,2,1859,2995,82,21,17
11/01/2025,12.08864071,13.70024524,55.56856814,120.7719508,7,2,1,2408,3423,87,18,14
12/01/2025,19.2563733,15.50471777,43.41076098,120.3981301,4,4,2,1720,2645,71,20,10
13/01/2025,14.14150224,17.90014842,48.94701098,116.2277055,9,0,1,2272,3483,82,17,15
14/01/2025,13.95434268,13.17982551,44.20919344,139.0843549,7,2,2,2005,2832,99,15,11
15/01/2025,13.13206261,15.79731166,53.79166131,137.9497881,7,0,2,1557,2980,83,25,16
16/01/2025,11.47061851,13.45624994,57.54619472,123.9322435,8,3,1,2326,3405,79,20,18
17/01/2025,14.87851197,18.15769405,45.80723771,102.2330608,9,4,2,1959,2762,99,18,12
18/01/2025,11.30047783,14.66728094,41.64021482,115.4779651,5,1,0,1627,2792,73,16,19
19/01/2025,18.35480236,10.76722827,45.96986196,114.6151523,3,2,2,2198,3491,84,21,13
20/01/2025,13.70396986,11.66052521,53.44723716,140.5543623,2,1,0,2216,2928,77,29,13
21/01/2025,13.74803568,10.61104668,46.57520255,104.3787787,4,0,1,1585,2585,84,24,13
22/01/2025,14.74006428,14.99302946,45.56224335,140.283769,5,1,1,1603,2515,83,27,12
23/01/2025,14.44127713,11.06337297,43.68870381,133.4591826,2,1,0,1642,3227,98,26,14
24/01/2025,19.94857973,11.14139969,49.95032854,136.622073,1,3,2,1704,3127,96,29,18
25/01/2025,15.45381121,19.4104826,45.51897656,121.6106594,6,3,0,2140,2617,90,27,17
26/01/2025,10.88201704,18.72655072,54.62020698,133.9862898,4,4,0,2257,2769,78,19,19
27/01/2025,16.06877342,14.52086597,41.53244804,130.4514472,8,0,1,1537,2894,89,20,11
28/01/2025,11.51584293,19.85805321,53.28066066,138.4490098,2,3,0,1862,3478,72,20,18
29/01/2025,10.30937645,10.00186528,44.75120029,122.3384917,7,3,2,2120,3354,95,28,19
30/01/2025,19.70742154,16.13979456,49.78558522,123.6412812,5,4,0,1808,2661,84,23,11
31/01/2025,17.73538892,16.16428177,45.72179844,132.1788111,3,2,1,1551,3199,93,26,16
01/02/2025,19.80108992,14.57443056,54.45537352,105.4038747,8,4,2,1500,2603,86,16,14
02/02/2025,14.77878448,13.96947973,58.90614081,121.8122224,4,1,1,1510,3152,94,26,16
03/02/2025,15.32257531,14.55383135,58.34153559,148.5975423,9,1,0,2325,2666,85,20,14
04/02/2025,11.68336956,14.14960436,51.6685243,101.877616,5,3,0,2246,2799,73,23,15
05/02/2025,12.46907427,17.30492477,49.25220607,115.8002361,8,3,1,2139,2527,80,26,17
06/02/2025,18.38549215,11.35355435,56.36601019,115.705491,6,4,1,2435,2923,94,18,10
07/02/2025,13.56185647,11.97639221,53.66652725,131.673206,4,4,2,1713,3283,77,27,10
08/02/2025,18.26814974,11.80518228,43.67128228,105.290018,1,0,1,2494,3061,72,26,14
09/02/2025,17.09013724,12.62470585,56.41838427,131.4272015,3,1,1,2455,3382,88,27,10
10/02/2025,11.77170925,15.25258419,48.57768779,104.752012,1,4,0,2254,2655,83,27,12
11/02/2025,15.07446366,11.11208747,43.7797132,104.7476824,2,2,0,2055,2823,78,25,19
12/02/2025,16.77387322,18.68169295,45.63594701,136.4091679,9,0,1,2017,2847,72,20,18
13/02/2025,12.35037215,12.97361531,45.3505406,116.2067587,2,4,1,2167,2620,73,21,16
14/02/2025,18.30688511,11.62537987,50.38413949,148.8711474,3,3,0,1914,3455,94,15,15
15/02/2025,15.44827658,16.7562131,44.68740181,101.8676468,5,4,2,1507,3151,97,19,17
16/02/2025,11.6524205,10.38086301,42.47132975,122.2553332,2,3,2,1504,3027,73,18,17
17/02/2025,15.82984426,16.19968565,42.47381701,105.6567969,9,3,2,1861,3320,80,27,15
18/02/2025,19.99713804,16.98198431,51.66552394,117.5689483,0,1,2,2193,3449,88,27,13
19/02/2025,11.50521492,12.14916531,54.69518578,149.9111225,0,1,0,1611,3060,99,27,13
